特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
18597,22131,844,5,12939,19541
7237,-14056,743,11,-7634,-4301
20989,22829,848,15,4950,19839
12605,-8404,718,7,-1717,-2447
25667,-471,707,4,-8387,5713
-2996,-7325,743,11,-8962,6778
-3271,21517,707,15,-7162,-111
28199,-87,731,10,-10976,391
6146,14329,845,10,9903,3057
27156,12201,704,2,164,-4468
11108,16635,741,8,13390,21571
23665,-739,726,6,-3947,6139
28047,12058,722,2,-6594,-3770
2228,18818,841,3,2228,18818
17298,23555,829,13,14512,73
21687,20195,830,8,21538,20123
13934,24317,848,6,7106,22448
11491,17217,834,1,12380,18794
-8948,10759,834,4,2798,-13104
22092,20071,845,8,21964,19991
1818,17550,718,14,1818,17550
-6937,16975,715,13,-3224,-6338
14086,23485,830,5,3742,11111
13964,25981,835,12,3299,-12679
12297,16717,735,2,15356,22423
28811,4264,719,4,-4524,-9569
13804,-11366,703,12,6590,-12168
15197,25275,847,11,-6244,8822
180,25255,735,15,-8551,-4643
21237,22118,847,15,10966,18844
5339,15333,725,11,6798,19558
13602,-227,738,5,6143,2741
22526,4717,711,1,1693,14228
22263,-7155,747,10,-8001,13216
20554,21892,832,13,14093,18642
3689,17869,711,12,4468,19482
8623,23723,827,10,820,17371
6400,24590,737,13,-2409,15884
16143,21516,838,8,14773,20908
7261,20176,733,11,9605,22421
16154,21117,733,13,15706,20319
13569,25515,838,7,-3143,-2516
16076,23844,827,14,4486,6154
10258,22122,708,13,8360,19767
13332,22421,713,14,13332,22421
3191,23927,748,14,862,22246
19406,23779,836,13,-2648,7340
25164,-4069,846,2,-5165,3395
-2121,17571,732,14,-2121,17571
29286,6809,723,3,-10850,-2824
28017,12490,729,0,-9498,4203
14971,22570,722,14,14971,22570
16426,-445,724,11,6718,1307
15705,-10443,726,9,-8554,2007
19874,18676,834,3,19874,18676
27690,10224,737,2,-3163,7329
453,22052,723,14,453,22052
15088,24228,835,11,1416,12990
15357,-11887,732,9,-10245,3525
14355,-12016,710,7,-4169,-7485
8461,23662,729,13,4052,20111
28600,2090,730,4,-10681,-225
-2739,18707,832,6,2520,-9003
706,14095,831,8,671,4916
-2808,8079,727,11,-450,18608
4516,-8833,703,7,-7109,2842
19141,23434,848,14,4959,19243
13008,1640,848,1,9312,3685
10205,21532,825,6,5576,15090
13903,22530,712,14,13903,22530
28519,11313,748,0,-8196,11631
27824,9721,711,1,1801,-5951
13961,20921,825,6,11171,17775
-6077,15984,710,13,-1780,-4764
9518,17859,707,8,12302,22461
13051,25149,835,11,-1545,1390
22258,-1738,748,3,643,19563
20398,-9821,724,9,-7952,-4619
-3610,9591,733,14,-3610,9591
21776,20907,826,12,20501,20544
-2335,23466,741,13,-6184,-6637
19208,23942,837,13,-2506,1952
3025,22016,732,13,-2361,11573
1979,-12111,728,7,-10750,5426
14087,24306,831,11,1029,9437
-2916,17502,712,15,758,-2324
27495,6509,711,1,-6146,5699
24858,-6894,709,9,-463,-13681
-4626,-5256,844,3,-4626,-5256
4537,-7901,719,5,-7198,8749
28498,10420,740,2,-8178,6309
18068,-8742,714,9,-5741,-2360
-338,21890,715,13,-6189,8417
24395,-2230,715,10,-7411,6816
9744,20378,709,9,11372,22231
26228,1468,726,8,-6547,8464
28333,-850,748,10,-9527,-3337
27740,11513,727,2,-3809,2943
12723,24385,834,7,3726,-1275
17951,-12599,832,1,7166,-14562
12926,1278,831,2,5799,15843
23955,-5127,708,9,2385,-10989
17088,23859,849,5,5217,19461
3921,19755,844,1,6707,22228
-556,-8998,737,7,-8011,1451
28061,-574,741,4,-10840,1224
11225,20470,833,4,8535,16969
27563,757,725,10,-7910,-1276
4764,3426,842,1,2511,8882
380,-2431,734,10,1955,22653
-6266,7745,742,9,-1531,20383
-2318,-9918,736,12,-2318,-9918
-3056,17427,830,10,1619,-7179
8723,24179,835,10,80,17641
10627,19569,827,4,8367,15613
15850,22445,746,7,16201,22602
-12072,12062,712,13,3140,-14278
22731,-4498,846,2,-3415,8087
2775,20993,745,12,2775,20993
28381,8894,733,2,-4836,18298
4556,17397,844,8,2345,10620
28743,10520,725,1,1761,-13590
7477,-7590,712,9,-6395,9054
13381,21799,722,5,14322,22522
12131,23413,713,13,10173,22194
14468,24633,839,11,-1285,7774
20053,23475,836,15,761,15999
29006,6581,714,8,1083,-13499
10168,5216,721,10,5938,18579
1979,-10450,717,7,-9618,5262
-7783,9619,846,3,-7783,9619
22789,-3079,743,4,-5182,11934
16124,22253,747,7,16453,22431
17149,-4999,717,9,-1197,143
29050,8937,735,1,-1811,-10235
5768,-3669,710,5,-3449,8577
28192,3621,717,4,-5292,-5674
19424,-1893,834,2,1761,9602
9476,25930,744,15,-847,21013
15203,23617,737,15,12923,22734
