特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
8415,26755,825,7,13236,-14547
12901,25973,842,11,-3369,-6829
1003,14268,716,14,1003,14268
27151,3240,713,3,-7519,10214
8186,-4887,703,12,3236,-3160
16993,23354,841,11,7477,18168
28374,12609,735,0,-8817,-6256
9312,23670,830,9,5127,-2800
16440,23135,734,15,15036,22595
-4682,21613,727,13,-9744,-1585
13494,23223,703,15,12034,22287
14864,659,824,2,4968,13756
18846,23690,835,13,3422,-864
28051,10532,743,0,-4586,13611
7311,20798,844,4,2703,13773
28093,2734,732,8,-9419,4977
25564,4888,717,1,-2381,12479
24315,9048,717,0,5234,17832
16664,736,725,5,6758,2803
-9731,2645,725,14,-9731,2645
5243,-7011,747,10,540,22024
12737,21686,729,7,13620,22403
10809,25726,831,11,3205,-9388
20729,-10356,725,9,-8554,-5147
18868,24508,840,13,-199,-11805
13700,21213,844,11,11803,6209
11958,-5726,740,6,-1629,17084
25209,3194,719,10,1345,-181
28776,6274,727,3,-9145,2166
-3027,-1840,839,3,-3027,-1840
4789,22415,834,6,-2537,6102
13155,21177,836,10,9930,17685
9928,22215,826,9,7612,2064
27497,13140,705,2,5744,-13086
21288,20255,834,3,21288,20255
16453,24166,838,14,2606,392
1786,22092,835,10,-4910,2539
19087,23996,832,15,117,-3502
27800,11640,718,0,-8595,8805
12752,5870,748,1,9562,21115
15314,19180,844,3,15314,19180
12699,17766,747,2,16279,22587
25583,8495,711,8,10814,-663
22243,-962,705,4,-5025,10395
-4224,16161,707,15,2053,-4261
11525,-11913,727,5,-9145,2166
26921,-1319,828,2,-254,-5189
28816,9947,748,2,-8196,11631
21259,-1662,738,8,-2225,13975
19600,18977,826,8,19386,18627
15235,23149,834,9,6638,16220
11174,-507,730,6,2262,18102
6107,24302,743,15,-3074,10766
24179,-3022,747,8,-5468,15029
4451,-2311,729,7,-2466,8090
55,24878,742,13,-10298,669
-7297,5724,741,5,-4429,17923
20474,20677,837,4,19993,20442
27211,11722,736,0,-764,5437
15028,-19,827,3,15028,-19
15151,24634,831,9,2753,19454
13417,-12962,830,1,2076,-11841
19941,-9432,715,11,351,-10446
21745,-3005,733,4,-3484,15896
16612,-12161,829,1,6088,-13190
-3861,8936,720,14,-3861,8936
-2000,6658,733,9,1149,20312
14540,25315,849,11,-5549,1785
-867,-8872,739,11,-8849,4375
4189,24902,727,13,-4237,18027
11151,25626,831,9,-5003,722
10911,22246,835,6,5264,16142
12620,20732,741,6,14814,22535
14938,23465,834,5,4896,13636
17129,23622,825,14,5056,14088
5668,-4692,703,5,-4280,7689
11664,22028,722,7,12811,22755
17524,23306,849,5,7939,19419
19445,23694,849,14,4696,21763
28266,8141,746,0,-167,21559
26585,2180,719,4,-5540,1253
14406,1098,842,1,10543,2488
15540,18721,828,10,14774,16230
5515,-14333,729,11,-11924,4718
17677,22413,832,11,12079,18876
18673,-7328,733,4,-2387,20866
28036,9682,716,2,-7758,12329
25626,14195,704,0,12631,102
27573,-215,706,9,15320,-12684
26897,2995,704,6,1957,-7669
13778,22088,725,11,14571,22648
17135,-12347,715,11,-5342,-8532
12648,20619,726,6,14745,22559
7263,246,737,6,2801,19084
11370,17491,832,1,12079,18876
12772,24296,829,5,646,5918
21941,21240,828,15,19323,20571
24818,4228,746,3,578,10423
19410,20483,847,3,19410,20483
12511,26005,840,5,-5339,-4723
-6137,14749,740,7,-2394,20277
3280,22122,720,13,-1718,13336
7389,25399,825,9,4643,-9983
7588,23467,831,8,3159,20958
18746,-398,711,9,5625,339
27239,3240,738,3,-5821,8714
28864,5271,720,10,5673,-13163
19151,1171,825,0,5510,13995
20709,-2023,704,5,8195,-4903
20205,23700,843,15,-8390,6631
25027,-1757,737,4,-6917,6938
25202,-3346,739,10,-8291,4546
-2549,12608,709,13,4338,-1627
28465,3532,722,4,-6595,-5625
26048,-4214,844,2,-6612,1513
25872,5736,711,1,-2819,9502
28538,10448,720,1,3096,-12736
15593,24761,842,7,-2427,11033
15538,23229,731,15,14103,22671
1945,547,729,12,-1115,4803
29418,8071,733,1,-12629,965
9933,24072,827,5,6280,-3805
28701,9389,719,1,-4376,-8813
