class,state,total_samples,number_of_frequency_points,min_frequency,max_frequency,mean_gamma_magnitude,max_gamma_magnitude
0,closed,10011,72,703.0,849.0,0.8227975570483902,0.953164260575489
1,closed,9262,72,703.0,849.0,0.7214226416198949,0.9539567199058715
2,closed,8596,72,703.0,849.0,0.7460680460825846,0.9532051687841654
3,closed,11421,70,703.0,849.0,0.7030084188086401,0.9513751802596216
4,closed,1178,47,703.0,831.0,0.5976564631387561,0.9368096482108614
5,closed,3086,46,703.0,748.0,0.5650725269058813,0.945434304342608
6,closed,4211,46,703.0,748.0,0.5580244997664731,0.9028296818761962
7,closed,6356,46,703.0,748.0,0.5914000172372464,0.9488561633369763
8,closed,3259,53,709.0,843.0,0.679757496510212,0.9462466953820182
9,closed,7785,46,703.0,748.0,0.5532663981506655,0.924781579994812
10,closed,775,32,703.0,748.0,0.5748716056431702,0.8591092137577205
11,closed,2211,45,703.0,748.0,0.5580420160079032,0.9453983622562906
12,closed,10211,46,703.0,748.0,0.6432252102978558,0.9504314518299481
13,closed,2432,17,703.0,719.0,0.7578748274026311,0.9435112566340244
14,closed,15974,36,703.0,738.0,0.69566135703896,0.9486172447042462
0,default,10011,72,703.0,849.0,0.8233195375327091,0.9142267704139025
1,default,9262,72,703.0,849.0,0.4303815169551672,0.7813628216580355
2,default,8596,72,703.0,849.0,0.6589229576413924,0.8138499095850491
3,default,11421,70,703.0,849.0,0.24151744196461183,0.7599584860555051
4,default,1178,47,703.0,831.0,0.6202536365781188,0.794464945980459
5,default,3086,46,703.0,748.0,0.44816462133362933,0.5655932716894211
6,default,4211,46,703.0,748.0,0.625582459020936,0.7959647548872637
7,default,6356,46,703.0,748.0,0.34407168271364563,0.4958033284198338
8,default,3259,53,709.0,843.0,0.45435305743595733,0.8041093587323689
9,default,7785,46,703.0,748.0,0.5299317933639976,0.6620211655026732
10,default,775,32,703.0,748.0,0.6698717134354798,0.7921312471126575
11,default,2211,45,703.0,748.0,0.3929543170807429,0.5326838366315827
12,default,10211,46,703.0,748.0,0.2772969153098017,0.44649322418394505
13,default,2432,17,703.0,719.0,0.503675623744606,0.6929940402932715
14,default,15974,36,703.0,738.0,0.26566572772920766,0.5224608314371447
