state,class_a,class_b,mean_distance,median_distance,min_distance,min_distance_frequency,common_frequency_points
closed,4,10,0.24757769588458392,0.23760817529040013,0.05485435983674774,744.0,26
closed,6,10,0.21284700137289372,0.19294099237503573,0.033837100153245654,734.0,32
closed,8,4,0.26747578520771315,0.31050631728645167,0.05018774385574142,828.0,34
closed,5,11,0.22538154726263243,0.19324349353106812,0.006865658184009518,728.0,45
closed,5,9,0.2226778746645129,0.22095435491675705,0.0733703572662228,704.0,46
closed,2,0,0.09663836105029504,0.08054949239046041,0.012252009497618793,705.0,72
closed,1,2,0.06627872409283889,0.05777154268141847,0.007985611121909103,709.0,72
closed,1,3,0.08583590128387998,0.07441260276225162,0.015550173464666943,725.0,70
closed,3,1,0.08583590128387998,0.07441260276225162,0.015550173464666943,725.0,70
closed,7,11,0.23633938749692104,0.22422623609380396,0.02799605257684089,740.0,45
closed,12,7,0.24118593296638885,0.20647847393674956,0.0076795834546884885,717.0,46
closed,14,12,0.19058513172942393,0.15358368074523354,0.028836806270779388,727.0,36
default,4,10,0.1296585021992843,0.06006882136279516,0.017254823266071855,736.0,26
default,6,10,0.1387669468356642,0.10077147715331426,0.04446662471582256,713.0,32
default,8,4,0.2330202241139805,0.27368807047571986,0.021076337373741438,740.0,34
default,5,11,0.10033532148902623,0.0839212091348838,0.04316092993299775,707.0,45
default,5,9,0.1579887597225756,0.16486428794849686,0.052618756529276035,710.0,46
default,2,0,0.162794895687441,0.050272873719900954,0.007926173535561553,705.0,72
default,1,2,0.14036210552676204,0.05548559822156053,0.00923130255705504,712.0,72
default,1,3,0.17719353990829048,0.07736247377695135,0.028131596136135428,748.0,70
default,3,1,0.17719353990829048,0.07736247377695135,0.028131596136135428,748.0,70
default,7,11,0.1261161960054667,0.114695148115558,0.06512117243234539,726.0,45
default,12,7,0.18342314428143047,0.1796904137723278,0.08002861748826524,718.0,46
default,14,12,0.3562172714461501,0.4054087377362424,0.17797887145374452,729.0,36
